Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Bramble Rock,http://www.bramblerock.com,+353(0)40445075,-6.291733,53.009756,Wicklow,Glendalough,Republic of Ireland,B&B
The Davenport,http://www.instagram.com/thedavenportdublin/,+353(0)16073500,-6.250030521,53.34166502,Dublin,Dublin City,Republic of Ireland,"Hotel,Covid Safety Charter"
Townsend House,http://www.townsendhouse-guesthouse.com,+353(0)579121276,-7.9095,53.098816,Offaly,Birr,Republic of Ireland,"Guesthouse,Covid Safety Charter"
River's Edge,http://www.riversedge.ie,353670000000,-9.7838816,52.1064848,Kerry,Killorglin,Ireland,"B&B,B&B Ireland"
Amber Springs Hotel & Health Spa,https://www.ambersprings.ie/,+353(0)539484000,-6.290339,52.668124,Wexford,Gorey,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Ennisdrum House,,+353(0)9783039,-9.746667,54.144722,Mayo,Bangor Erris,Ireland,"B&B,Covid Safety Charter"
Creagh House,http://www.creaghhouse.com,+353(0)2224433,-8.584556,52.217957,Cork,Doneraile,Republic of Ireland,"B&B,B&Bs,Historic House"
Salthill Hotel,https://www.facebook.com/salthillhotel?ref=hl,+353(0)91522711,-9.087343212,53.25865685,Galway,Salthill,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Clifden Station House Suites,http://www.clifdenstationhouse.com,+353(0)9521699,-10.017696,53.4888,Galway,Clifden,Republic of Ireland,Self Catering Accommodation
Tower Hotel and Leisure Centre,http://www.towerhotelwaterford.com,+353(0)51862300,-7.104975,52.260068,Waterford,Waterford City,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Rockmount House,http://www.rockmounthouse.com,+353(0)9521763,-10.098997,53.498581,Galway,Clifden,Republic of Ireland,"B&B,Covid Safety Charter"
Woodville,http://www.woodvillegalway.com,+353(0)91524260,-9.112975,53.26103,Galway,Salthill,Republic of Ireland,"B&B,Covid Safety Charter"
Hotel Kilmore,http://www.facebook.com/hotelkilmore,+353(0)494332288,-7.322925416,53.98703114,Cavan,,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Beara Holiday Homes,http://www.bearaholidayhomes.com,+353(0)2770219,-10.039142,51.627989,Cork,Allihies,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter,Stay and Spend"
The Glasshouse,http://www.theglasshouse.ie,+353(0)719194300,-8.474761,54.272476,Sligo,Sligo Town,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Fitzpatrick Castle Dublin Hotel,https://twitter.com/FitzCastle,+353(0)12305400,-6.112967216,53.26960586,Dublin,Killiney,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Laois County Lodge,http://www.laoiscountylodge.com,+353(0)578620472,-7.278501,53.038521,Laois,Portlaoise,Republic of Ireland,"B&B,Covid Safety Charter"
Leenane Hotel,http://leenanehotel.com/,+353(0)9542249,-9.70493,53.594557,Galway,Leenane,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
Lakelodge,http://www.lakelodge.ie,+353(0)869978398,-7.38999,53.58977,Westmeath,Multyfarnham,Ireland,"Self Catering Accommodation,Covid Safety Charter"
Paramount Hotel,http://www.paramounthotel.ie,+353(0)14179900,-6.267649,53.344687,Dublin,Dublin,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
The Ring of Kerry Hotel,http://www.ringofkerryhotel.ie,+353(0)669472543,-10.23713994,51.94029154,Kerry,,Republic of Ireland,Hotel
Strand Hotel,https://strandhotel.ie/,+353(0)9843241,-10.02836746,54.01159271,Mayo,,Republic of Ireland,Hotel
Celtic House,http://www.celtic-house-bandb.com,+353(0)567762249,-7.249919,52.654626,Kilkenny,Kilkenny City,Republic of Ireland,"B&B,Covid Safety Charter"
Glenview Lodge,http://www.glenviewlodge.com,+353(0)876180670,-8.969646222,52.32882957,Limerick,Broadford,Republic of Ireland,"Self Catering Accommodation,Covid Safety Charter"
Moloney House,http://www.moloneyhouse.ie,+353(0)871250303,-9.382853519,53.01365572,Clare,Doolin,Republic of Ireland,"B&B,Covid Safety Charter"
Bellbridge House Hotel,http://www.bellbridgehotelclare.com,+353(0)657084038,-9.429529063,52.83769056,Clare,Spanish Point,Republic of Ireland,"Hotel,Covid Safety Charter,Stay and Spend"
