Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
The Restaurant at the Abbey Hotel,http://www.abbeyhotel.ie/food-and-wine.html,353907000000,-8.1936392,53.6248762,Roscommon,,Ireland,"Food and Drink,Restaurant"
Café Nutshell,https://www.facebook.com/cafenutshell/,35351422777,-6.94421,52.395136,Wexford,New Ross,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Cafe"
Guided Walking Tour of Sligo,,,-8.477043,54.268771,Sligo,Sligo Town,Republic of Ireland,"Walking,Activity Operator,Tour"
The Italian Kitchen,http://theitaliankitchen.ie,+353(0)18711255,-6.218040998,53.41189795,Dublin,Clonshaugh,Ireland,"Food and Drink,Restaurant"
Brasserie on the Corner,https://brasseriegalway.com,35391530333,-9.0529013,53.2746582,Galway,,Ireland,"Covid Safety Charter,Food and Drink,Restaurant"
Birr Outdoor Education Centre,http://www.birroec.ie,353579000000,-7.9064196,53.0892903,Offaly,Birr,Ireland,"Climbing,Activity Operator,Kayaking,Surfing,Walking,Adventure Park"
Evergreen Healthfoods Oranmore,https://www.evergreen.ie,35391787070,-8.9306182,53.2697776,Galway,Oranmore,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
The Spa at Mount Falcon Estate,https://www.mountfalcon.com/spa.html,3539674472,-9.1574141,54.0569345,Mayo,Ballina,Ireland,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Fitness and Leisure,Venue,Spa"
Burren Way Mountain Bike Tours,http://www.burrenwaymountainbiketours.com,+353(0)851195489,-9.377412,53.015649,Clare,Doolin,Ireland,"Cycling,Activity Operator,Tour"
Saoirse,http://www.saoirsetoursdingle.com,+353(0)863772195,-10.26925507,52.14125683,Kerry,Dingle,Ireland,"Cycling,Walking,Activity Operator,Tour"
Carrygerry Country House,https://www.carrygerryhouse.com,35361360500,-8.9303201,52.7168324,Clare,,Ireland,"Food and Drink,Restaurant"
O'Flaherty's Dingle,https://www.facebook.com/pages/category/Pub/OFlahertys-Bar-152400028229362,353669000000,-10.270922,52.139074,Kerry,Dingle,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Aran Islands Tour - Railtours Ireland First Class!,http://www.railtoursireland.com,+353(0)18560045,-6.250291,53.351003,Dublin,,Ireland,"Activity Operator,Tour"
Siopa Ceoil,http://www.siopaceoil.ie,+353(0)879145826,-10.27302626,52.13963703,Kerry,Dingle,Ireland,"Shopping,Shopping Centres and Department Store,Traditionally Irish,Venue,Music,Food Shops"
Shannon Golf Club,http://www.shannongolfclub.ie,35361471849,-8.9373196,52.689272,Clare,,Ireland,"Golf Course,Golf,Activity Operator"
Brady's of Shankill,http://www.johnbradygroup.ie/index.php/bradys-of-shankill/,+353(0)12820153,-6.124,53.23,Dublin,Shankill,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Classic Cinema,http://www.listowel-cinema.com,+353(0)6822796,-9.487138059,52.44937377,Kerry,Listowel,Republic of Ireland,"Movies,Cinema,Venue,Activity Operator"
Dingle Sailing Centre,http://www.dinglesailingclub.com,353669000000,-10.2783279,52.1385614,Kerry,Dingle,Ireland,"Sailing,Activity Operator"
Bull McCabe’s,https://twitter.com/bullmccabescork?lang=en,353214000000,-8.480108617,51.866615,Cork,Airport Road,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Coarse Angling Killeshandra,http://www.killeshandratourism.com/business/angling-in-killeshandra,+353(0)494334487,-7.527691,54.015737,Cavan,,Republic of Ireland,"Fishing,Angling,Activity Operator"
Oscars Seafood Bistro,http://www.oscarsseafoodbistro.com,35391582180,-9.0585855,53.2700307,Galway,,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Seafood"
Europcar,http://www.irishcarrentals.com/carrentaldublinairport.php,+353(0)61206040,-6.243706859,53.42717987,Dublin,Dublin Airport,Republic of Ireland,"Transport,Coach,Road"
Doolin Cliff Walk Guided Tour,http://www.doolincliffwalk.com,+353(0)657074170,-9.3858236,53.0194709,Clare,Doolin,Ireland,"Covid Safety Charter,Walking,Activity Operator,Tour"
Donegal Scenic Travel,http://donegalscenictravel.com/,+353(0)860874444,-8.111826733,54.65055466,Donegal,Donegal Town,Ireland,"Activity Operator,Tour"
Guided Tour of Maynooth College,http://www.visitmaynooth.com,+353(0)17086404,-6.594274617,53.38048324,Kildare,Maynooth,Republic of Ireland,"Activity Operator,Tour"
WhiteRiver Park Ltd,http://www.WhiteRiver.ie,353420000000,-6.482080763,53.7987006,Louth,Collon,Republic of Ireland,"Activity Operator,Venue,Sports Venues"
The Perseverance Fleeing The Famine Bus Tour-Hidden Dublin Walks,http://www.facebook.com/hiddendublinwalks/?fref=ts,+353(0)862088117,-6.2798109,53.3454402,Dublin,,Ireland,"Activity Operator,Tour"
Brickfield Park,http://dublincity.ie/main-menu-services-culture-dublin-city-parks-visit-park/brickfield-park,+353(0)12222222,-6.30568,53.3285,Dublin,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Venue,Sports Venues"
Killarney Grand,http://www.killarneygrand.com,353647000000,-9.5090194,52.0581579,Kerry,Killarney,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Killarney Tour,http://www.killarneytour.com,+353(0)872508122,-9.508380026,52.05767969,Kerry,Killarney,Ireland,"Activity Operator,Tour"
The Club,https://www.facebook.com/#!/TheClubBarDalkey?fref=ts,+353(0)12858511,-6.10262,53.277288,Dublin,Dalkey,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar,Vegetarian"
The Enterprise Bar,https://www.dungarvantourism.com/the-enterprise-bar,3535841327,-7.6214569,52.089632,Waterford,Dungarvan,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
North West Trail Cycling Trail,,,-8.480807126,54.2713073,Sligo,,Ireland,Cycling
Arnotts,https://www.arnotts.ie,35318050400,-6.2631308,53.3491377,Dublin,Dublin,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Skylon Bar & Grill,http://dublinskylonhotel.com/bar-grill-drumcondra-dublin.html,+353(0)18843900,-6.25307836,53.37261654,Dublin,Dublin City,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
The Bankers,https://www.facebook.com/home.php#!/thebankers?fref=ts,+353(0)16793697,-6.262441,53.343947,Dublin,,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Craddockstown Golf Club,http://www.craddockstown.com,35345897610,-6.6379265,53.2045943,Kildare,Naas,Ireland,"Golf Course,Golf,Activity Operator"
Leopardstown Golf Centre,https://www.leopardstowngolfcentre.com/,35312895341,-6.1891136,53.2662888,Dublin,Foxrock,Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
O'Callaghan Angling,https://www.clare.ie/do/ocallaghan-angling-ltd,353657000000,-8.9499804,52.8575711,Clare,Ennis,Ireland,"Fishing,Angling,Activity Operator,Boat,Tour"
Yellow Brick Road,https://www.yellowbrickroad.ie,35318730177,-6.262363,53.346934,Dublin,Dublin,Ireland,"Craft,Shopping,Learning,Shopping Centres and Department Store,Activity Operator,Food Shops"
Bike on Board.ie,http://www.bike-on-board.ie,+353(0)18867700,-6.249486,53.394692,Dublin,Santry,Ireland,"Transport,Cycling,Coach,Road"
Fiddlers Retreat,http://www.fiddlersretreat.com,353868000000,-7.824097983,52.75689352,Tipperary,Templemore,Republic of Ireland,"Learning,Activity Operator,Traditionally Irish"
Shuttle Knit,https://shuttleknit.ie/,35340425641,-6.0359365,52.9771945,Wicklow,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
Seapoint Fish & Grill,https://twitter.com/Seapointrest,+353(0)16638480,-6.153470512,53.29389902,Dublin,Dublin City,Ireland,"Food and Drink,Restaurant,Seafood,Vegetarian"
Avondale Forest Park - Cairn Walk,http://www.irishtrails.ie/Trail/Avondale-Forest-Park---Cairn-Walk/304/,,-6.227024242,52.91671134,Wicklow,Rathdrum,Ireland,"Walking,Forest Park,Park and Forest Walk"
The Foggy Dew,https://www.facebook.com/thefoggydew.dublin,+353(0)16779328,-6.263456,53.344428,Dublin,,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar"
The Gorgeous Mask Historical Walking Tour Of Dublin,http://www.historicalinsights.ie,+353(0)18780227,-6.268529,53.348575,Dublin,Dublin City Centre,Republic of Ireland,"Walking,Activity Operator,Tour"
Staigue Fort,https://www.theringofkerry.com/staigue-fort,,-10.038945,51.780516,Kerry,Castlecove,Republic of Ireland,
Tailor-Made Tours,https://tailor-madetours.com,353873000000,-8.215046,51.8378814,Cork,Aghada,Ireland,"Walking,Activity Operator,Day Tour,Tour"
Moth to a Flame Candles,https://www.mothtoaflame.ie,353568000000,-7.1877597,52.5932114,Kilkenny,Bennettsbridge,Ireland,"Craft,Shopping,Learning,Food Shops"
Pacino's,http://www.pacinos.ie,+353(0)16775651,-6.259871,53.343321,Dublin,,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant"
Bar and Restaurant At Enniscrone Golf Club,http://www.enniscronegolf.com/restaurant-2,3539636297,-9.105534,54.2073745,Sligo,Enniscrone,Ireland,"Food and Drink,Restaurant"
Swell Surf School,http://www.swellsurfschool.ie,353880000000,-8.17872,51.795239,Cork,Whitegate,Ireland,"Surfing,Activity Operator"
Westport Walking Tours,http://www.westportwalkingtours.ie,+353(0)874101363,-9.521081052,53.80104247,Mayo,Westport,Republic of Ireland,"Learning,Walking,Activity Operator,Tour"
Sligo Tours,http://www.sligotours.com/,3537190000000,-8.508876344,54.21186251,Sligo,,Ireland,"Covid Safety Charter,Activity Operator,Tour"
Green’s Berry Farm Shop,http://greensberryfarm.ie/,353539000000,-6.258564,52.7111328,Wexford,Gorey,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Knockbarron Wood Eco Walk,https://www.discoverireland.ie/things-to-do/walking-and-hiking,,-7.732754198,53.11803631,Offaly,Kinnitty,Ireland,"Walking,Activity Operator,Forest Park,Park and Forest Walk"
Healy Tours,http://www.healybus.com,+353(0)91770066,-9.02211,53.303529,Galway,Castlegar,Republic of Ireland,"Activity Operator,Tour"
Murphy’s Harley-Davidson,http://harley.ie,35315160643,-6.263754,53.344785,Dublin,Dublin,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
An Siopa at The Mills,http://www.millsinn.ie/craft-shop-cork-hampers-food-homebaking-gifts,3532645237,-9.1706322,51.9456574,Cork,Ballyvourney,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Bridgie Terries,https://www.facebook.com/bridgieterries,35351291324,-7.5619317,52.1245194,Waterford,Dungarvan,Ireland,"Food and Drink,Restaurant,Seafood"
The Cross Guns Gastropub,https://thecrossguns.com,353469000000,-6.7371317,53.7916655,Meath,Butlerstown,Republic of Ireland,"Food and Drink,Restaurant,Cafe,Local Produce,Pubs and Bar,Seafood,Vegan,Vegetarian"
Victorian Tea Times,https://facebook.com/victorianteatimes,353894000000,-6.153070497,52.7981294,Wicklow,Arklow,Republic of Ireland,"Food and Drink,Restaurant"
Brendan J. Hynes Tours,https://brendanjhynes.com,353878000000,-9.0492276,53.2743394,Galway,Eyre Square,Ireland,"Covid Safety Charter,Walking,Activity Operator,Tour"
Ivy Rooms Snooker Club,https://www.facebook.com/IvyRooms/,+353(0)599137714,-6.943934045,52.84539388,Carlow,,Republic of Ireland,"Activity Operator,Cafe,Food and Drink"
BLOCK T,http://www.blockt.ie,+353(0)15351014,-6.2896327,53.3394913,Dublin,Dublin,Ireland,"Craft,Shopping,Learning,Activity Operator,Venue,Music,Cafe,Food and Drink"
Alex Restaurant,https://twitter.com/ConradDublin,+353(0)16028900,-6.257232,53.334945,Dublin,,Republic of Ireland,"Food and Drink,Restaurant,Seafood"
mygolfsociety.ie,http://www.mygolfsociety.ie,353857000000,-6.684921,53.295553,Kildare,Clane,Republic of Ireland,"Golf,Activity Operator"
Sliabh Liag Boat Tours,http://www.sliabhleagueboattrips.com/,+353(0)876284688,-8.632111,54.623419,Donegal,Teelin,Ireland,"Activity Operator,Boat,Tour"
The Donegal Shop,http://www.thedonegalshop.com,35314754621,-6.262002,53.339967,Dublin,Dublin City Centre,Republic of Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
Kerry Nature Trails,http://www.kerrynaturetrails.com,+353(0)646624577,-9.5025582,52.0577938,Kerry,Killarney,Ireland,Walking
